campus_name,pct_ed,pct_pass,campus_id,student_count,community,avg_salary,ed_count
CASTANEDA EL,95.3225806451613,93.0,31901115,620,Other Central City,53247,591
FJ SCOTT EL,90.29126213592232,98.0,214903103,618,Independent Town,50906,558
NORTH HOUSTON EARLY COLLEGE H S,91.77777777777777,96.0,101912308,450,Marjor Urban,57630,413
EARLY COLLEGE H S,95.08196721311475,93.0,240901008,427,Other CC Suburban,56644,406
TRINIDAD GARZA EARLY COLLEGE AT MT,87.79342723004694,100.0,57905088,426,Marjor Urban,55645,374
MISSION COLLEGIATE H S,96.19047619047619,92.0,108908004,420,Other CC Suburban,53923,404
THELMA ROSA SALINAS STEM EARLY COL,97.52475247524752,91.0,108912010,404,Other Central City,51753,394
AUSTIN ELEM,93.646408839779,96.0,108904101,362,Other Central City,55486,339
JIMMY CARTER EARLY COLLEGE H S,98.0225988700565,91.0,108912008,354,Other Central City,52982,347
ACCELERATED INTERDISCIPLINARY ACAD,96.79715302491103,96.0,101849101,281,Charters,36263,272
