campus_name,pct_ed,pct_pass,campus_id,student_count,community,avg_salary,ed_count
BREEDEN EL,97.339593114241,92.0,31901144,639,Other Central City,46947,622
AOY EL,97.64065335753176,90.0,71902103,551,Marjor Urban,49898,538
THE VARNETT SCHOOL - EAST,98.87005649717514,95.0,101814103,354,Charters,43399,350
ORTEGA EL,97.05882352941177,91.0,227901126,340,Marjor Urban,46572,330
BROWNSVILLE EARLY COLLEGE H S,92.54658385093168,97.0,31901008,322,Other Central City,48430,298
JIMMY CARTER EARLY COLLEGE H S,99.65517241379311,90.0,108912008,290,Other Central City,49163,289
BLACKSHEAR EL,97.34513274336283,95.0,227901105,226,Marjor Urban,45202,220
LA AMISTAD LOVE & LEARNING ACADEMY,97.44897959183673,97.0,101833101,196,Charters,49865,191
HOUSTON HEIGHTS LEARNING ACADEMY I,99.21875,95.0,101829101,128,Charters,41074,127
TEKOA ACADEMY OF ACCELERATED STUDI,98.2905982905983,94.0,123803103,117,Charters,34326,115
