campus_name,pct_ed,pct_pass,campus_id,student_count,community,avg_salary,ed_count
ORTIZ EL,96.87034277198211,92.0,31901139,671,Other Central City,50088,650
NORTH HOUSTON EARLY COLLEGE H S,91.77777777777777,99.0,101912308,450,Marjor Urban,57630,413
EARLY COLLEGE H S,95.08196721311475,98.0,240901008,427,Other CC Suburban,56644,406
MISSION COLLEGIATE H S,96.19047619047619,94.0,108908004,420,Other CC Suburban,53923,404
THELMA ROSA SALINAS STEM EARLY COL,97.52475247524752,93.0,108912010,404,Other Central City,51753,394
AUSTIN ELEM,93.646408839779,98.0,108904101,362,Other Central City,55486,339
JIMMY CARTER EARLY COLLEGE H S,98.0225988700565,94.0,108912008,354,Other Central City,52982,347
HAWKINS EL,97.32142857142857,91.0,71902119,336,Marjor Urban,51545,327
GOLDEN RULE,94.67455621301775,100.0,57835101,169,Charters,53967,160
FAIRVIEW ACCELERATED,100.0,100.0,226906002,5,Other CC Suburban,41957,5
