campus_id,student_count,pass_count,pass_rate,year
14909041,1787,1062,59,2016
14909042,1863,1105,59,2016
14909044,1254,818,65,2016
14909102,406,247,61,2016
14909107,879,482,55,2016
14909110,613,387,63,2016
14909111,582,371,64,2016
14909114,434,240,55,2016
14909116,610,319,52,2016
14909117,682,489,72,2016
14909118,664,409,62,2016
14910001,682,581,85,2016
14910041,922,689,75,2016
14910101,859,621,72,2016
15801001,244,80,33,2016
15801002,108,64,59,2016
15801003,183,56,31,2016
15802001,336,257,76,2016
15802004,159,89,56,2016
15805001,230,192,83,2016
15805041,600,341,57,2016
15805101,476,225,47,2016
15806003,309,219,71,2016
15806041,433,208,48,2016
15806101,98,56,57,2016
15806106,225,146,65,2016
15807001,196,97,49,2016
15807002,422,167,40,2016
15807004,427,180,42,2016
15807005,175,94,54,2016
15807101,198,60,30,2016
15808009,616,482,78,2016
15809101,549,369,67,2016
15814001,200,103,52,2016
15815001,68,38,56,2016
15815041,673,389,58,2016
15815101,39,19,49,2016
15815104,42,21,50,2016
15820001,497,307,62,2016
15820002,143,69,48,2016
15822001,2060,1078,52,2016
15822002,248,156,63,2016
15822004,77,44,57,2016
15822005,380,261,69,2016
15822006,471,314,67,2016
15822007,2386,1873,78,2016
15822008,193,137,71,2016
15822009,1262,917,73,2016
15825001,381,278,73,2016
15826001,917,696,76,2016
15826041,1319,725,55,2016
15826042,1316,801,61,2016
15826043,290,245,84,2016
15826101,244,104,43,2016
15827001,825,731,89,2016
15827002,676,552,82,2016
15828001,1405,1113,79,2016
15828002,1100,688,63,2016
15828003,1566,1231,79,2016
15828004,654,427,65,2016
15828005,928,761,82,2016
15828006,741,548,74,2016
15830001,2626,1680,64,2016
15830101,245,172,70,2016
15830102,183,122,67,2016
15831001,757,606,80,2016
15831002,1137,813,72,2016
15833001,152,104,68,2016
15834001,1849,1769,96,2016
15834002,1521,1436,94,2016
15835001,518,419,81,2016
15835002,656,606,92,2016
15835003,1001,863,86,2016
15835004,939,813,87,2016
15836001,389,347,89,2016
15837001,411,163,40,2016
15901001,1768,1547,88,2016
15901041,3364,2797,83,2016
15901101,1212,989,82,2016
15901104,1491,1260,85,2016
15904001,3032,2040,67,2016
15904002,2497,1696,68,2016
15904004,299,121,40,2016
15904011,443,395,89,2016
15904041,2249,1461,65,2016
15904042,2297,1536,67,2016
15904043,1943,1405,72,2016
15904044,1737,1180,68,2016
15904048,83,19,23,2016
15904101,547,438,80,2016
15904102,697,507,73,2016
15904103,627,395,63,2016
15904104,566,369,65,2016
15904105,681,340,50,2016
15904106,743,422,57,2016
15904107,752,512,68,2016
15904108,861,634,74,2016
15904109,562,455,81,2016
15904110,477,311,65,2016
15904113,473,294,62,2016
15904114,631,463,73,2016
15904116,582,384,66,2016
15905002,2294,1482,65,2016
15905003,2134,1319,62,2016
15905041,2020,1209,60,2016
15905044,1824,1170,64,2016
15905046,2009,1119,56,2016
15905104,712,486,68,2016
15905106,583,419,72,2016
15905108,606,315,52,2016
15905109,589,432,73,2016
15905110,598,344,58,2016
15905112,825,572,69,2016
15905113,716,468,65,2016
15905114,657,408,62,2016
15905116,677,396,58,2016
15905117,582,344,59,2016
15906001,459,421,92,2016
15906041,939,852,91,2016
15906101,702,659,94,2016
15907001,3001,1958,65,2016
15907002,2096,1473,70,2016
15907003,2587,1682,65,2016
15907004,439,419,95,2016
15907005,2719,1552,57,2016
15907006,1737,930,54,2016
15907007,2702,1711,63,2016
15907008,3092,1768,57,2016
15907022,531,528,99,2016
15907023,868,862,99,2016
15907024,158,63,40,2016
15907025,294,242,82,2016
15907043,1467,730,50,2016
15907046,1039,424,41,2016
15907047,2163,1218,56,2016
15907049,2004,856,43,2016
15907050,2611,1428,55,2016
15907051,1038,531,51,2016
15907053,1068,473,44,2016
15907054,1676,858,51,2016
15907055,2196,1196,54,2016
15907057,1553,747,48,2016
15907058,1406,817,58,2016
15907059,2440,1570,64,2016
15907061,2172,1002,46,2016
15907064,64,6,9,2016
15907101,633,494,78,2016
15907103,594,303,51,2016
15907105,436,323,74,2016
15907106,484,281,58,2016
15907107,781,530,68,2016
15907110,630,396,63,2016
15907112,574,409,71,2016
15907114,575,366,64,2016
15907116,671,387,58,2016
15907117,402,222,55,2016
15907118,641,386,60,2016
15907119,407,240,59,2016
15907121,649,331,51,2016
15907123,454,284,63,2016
15907124,317,231,73,2016
15907125,494,253,51,2016
15907126,549,372,68,2016
15907127,226,158,70,2016
15907129,842,561,67,2016
15907131,266,153,58,2016
15907132,488,319,65,2016
15907134,744,446,60,2016
15907135,678,433,64,2016
15907136,522,334,64,2016
15907137,772,478,62,2016
15907139,387,271,70,2016
15907140,501,222,44,2016
15907141,811,530,65,2016
15907142,880,516,59,2016
15907143,319,231,72,2016
15907144,900,467,52,2016
15907146,186,128,69,2016
15907147,432,210,49,2016
15907148,656,372,57,2016
15907149,685,418,61,2016
15907150,705,424,60,2016
15907153,361,172,48,2016
15907155,534,316,59,2016
15907157,648,247,38,2016
15907158,453,234,52,2016
15907160,356,200,56,2016
15907161,721,470,65,2016
15907162,601,419,70,2016
15907164,529,381,72,2016
15907165,495,323,65,2016
15907168,611,243,40,2016
15907169,554,285,51,2016
15907172,476,307,64,2016
15907174,529,382,72,2016
15907175,839,478,57,2016
15907176,653,407,62,2016
15907177,420,332,79,2016
15907179,1369,906,66,2016
15907182,206,75,36,2016
15907210,1054,736,70,2016
15908001,3970,2558,64,2016
15908041,1286,850,66,2016
15908042,1599,870,54,2016
15908043,1279,665,52,2016
15908044,1644,1132,69,2016
15908101,442,291,66,2016
15908104,674,411,61,2016
15908105,518,356,69,2016
15908106,578,426,74,2016
15908107,539,408,76,2016
15908108,743,461,62,2016
15908109,409,248,61,2016
15908110,495,351,71,2016
15908112,500,351,70,2016
15908113,700,470,67,2016
15909001,1399,960,69,2016
15909006,67,59,88,2016
15909007,47,13,28,2016
15909041,1981,1152,58,2016
15909101,822,531,65,2016
15909104,594,335,56,2016
15909105,1342,813,61,2016
15910001,3478,2668,77,2016
15910002,3141,2532,81,2016
15910003,3753,3072,82,2016
15910004,4011,2834,71,2016
15910005,4509,3451,77,2016
15910007,3903,3696,95,2016
15910008,37,36,97,2016
15910009,547,533,97,2016
15910014,3474,3238,93,2016
15910041,2927,2139,73,2016
15910042,2648,2006,76,2016
15910043,3010,2132,71,2016
15910044,3252,2116,65,2016
15910045,2452,1726,70,2016
15910046,2481,1539,62,2016
15910047,2967,2089,70,2016
15910048,3460,2905,84,2016
15910049,2492,1883,76,2016
15910050,3581,3261,91,2016
15910056,3343,3075,92,2016
15910057,3528,3329,94,2016
15910058,3676,2928,80,2016
15910059,2809,2493,89,2016
15910101,602,492,82,2016
15910102,1109,835,75,2016
15910103,882,560,63,2016
15910104,551,390,71,2016
15910105,786,447,57,2016
15910106,599,385,64,2016
15910107,999,620,62,2016
15910108,861,558,65,2016
15910109,574,497,87,2016
15910110,389,276,71,2016
15910111,618,480,78,2016
15910112,729,476,65,2016
15910113,488,307,63,2016
15910114,737,379,51,2016
15910115,461,275,60,2016
15910116,315,215,68,2016
15910117,784,472,60,2016
15910118,611,393,64,2016
15910119,549,325,59,2016
15910120,719,462,64,2016
15910121,873,537,62,2016
15910122,555,317,57,2016
15910123,665,598,90,2016
15910124,982,713,73,2016
15910125,1103,752,68,2016
15910126,881,699,79,2016
15910127,764,570,75,2016
15910128,589,480,81,2016
15910129,875,834,95,2016
15910130,936,724,77,2016
15910131,546,470,86,2016
15910133,812,748,92,2016
15910134,874,793,91,2016
15910135,887,793,89,2016
15910136,1097,1029,94,2016
15910137,913,734,80,2016
15910138,757,536,71,2016
15910139,969,903,93,2016
15910140,839,763,91,2016
15910141,1194,974,82,2016
15910142,1276,1153,90,2016
15910143,963,916,95,2016
15910144,1244,1102,89,2016
15910145,1426,1286,90,2016
15910146,749,673,90,2016
15910147,968,890,92,2016
15911001,4604,3212,70,2016
15911041,2032,1288,63,2016
15911042,2257,1318,58,2016
15911043,3225,2076,64,2016
15911044,3465,1958,57,2016
15911101,280,208,74,2016
15911102,251,159,63,2016
15911103,206,115,56,2016
15911104,302,215,71,2016
15911106,278,157,56,2016
15912001,5747,3971,69,2016
15912011,262,121,46,2016
15912041,3363,2091,62,2016
15912042,2399,1325,55,2016
15912044,2554,1774,69,2016
15912101,840,622,74,2016
15912102,722,502,70,2016
15912103,650,441,68,2016
15912104,478,362,76,2016
15912105,735,495,67,2016
15912106,635,471,74,2016
15912107,938,779,83,2016
15912108,884,724,82,2016
15912109,693,526,76,2016
15912110,704,424,60,2016
15912111,781,564,72,2016
15913001,588,512,87,2016
15913101,667,558,84,2016
15914001,1270,1061,84,2016
15914101,799,661,83,2016
15915001,4246,3141,74,2016
15915002,4470,3137,70,2016
15915003,3420,2766,81,2016
15915005,3563,3079,86,2016
15915006,914,914,100,2016
15915007,4317,3592,83,2016
15915016,4123,3588,87,2016
15915019,4067,3388,83,2016
15915022,4332,3306,76,2016
15915023,3455,3042,88,2016
15915024,3549,3019,85,2016
15915041,3214,2092,65,2016
15915042,2754,1720,62,2016
15915043,3298,2065,63,2016
15915044,3230,1785,55,2016
15915045,2674,2018,75,2016
15915046,3187,2166,68,2016
15915047,4077,3331,82,2016
15915048,2783,2001,72,2016
15915049,2919,2187,75,2016
15915050,3160,2540,80,2016
15915051,3519,2722,77,2016
15915052,2904,2169,75,2016
15915053,3216,2675,83,2016
15915054,3660,2930,80,2016
15915055,4281,3673,86,2016
15915056,3691,2765,75,2016
15915057,4438,4117,93,2016
15915058,2550,2227,87,2016
15915059,2369,2116,89,2016
15915060,2109,1701,81,2016
15915101,840,484,58,2016
15915102,733,510,70,2016
15915103,538,401,75,2016
15915104,510,445,87,2016
15915105,715,517,72,2016
15915106,686,540,79,2016
15915107,1034,781,76,2016
15915108,672,506,75,2016
15915109,851,675,79,2016
15915111,629,467,74,2016
15915112,582,449,77,2016
15915113,484,338,70,2016
15915114,639,417,65,2016
15915115,692,456,66,2016
15915116,812,553,68,2016
15915117,640,392,61,2016
15915118,650,414,64,2016
15915119,803,572,71,2016
15915122,586,420,72,2016
15915123,673,454,67,2016
15915124,843,662,79,2016
15915125,634,473,75,2016
15915128,952,668,70,2016
15915130,1077,822,76,2016
15915131,668,562,84,2016
15915132,877,668,76,2016
15915134,702,540,77,2016
15915135,792,641,81,2016
15915136,750,585,78,2016
15915138,738,494,67,2016
15915141,1189,950,80,2016
15915143,725,633,87,2016
15915144,864,696,81,2016
15915145,675,538,80,2016
15915148,1084,905,83,2016
15915149,782,575,74,2016
15915150,652,549,84,2016
15915151,757,660,87,2016
15915152,497,449,90,2016
15915156,1124,872,78,2016
15915157,636,539,85,2016
15915158,774,527,68,2016
15915160,812,571,70,2016
15915161,577,496,86,2016
15915162,956,633,66,2016
15915165,865,731,85,2016
15915166,595,533,90,2016
15915167,841,703,84,2016
15915168,982,828,84,2016
15915169,669,514,77,2016
15915170,581,498,86,2016
15915171,637,540,85,2016
15915177,706,512,73,2016
15915178,870,816,94,2016
15915179,1049,893,85,2016
15915180,1145,1061,93,2016
15915181,676,642,95,2016
15915182,927,774,83,2016
15915183,1169,959,82,2016
15915184,893,670,75,2016
15915185,852,552,65,2016
15915186,1337,1208,90,2016
15915187,560,437,78,2016
15915188,1295,1112,86,2016
15915189,875,528,60,2016
15915191,1090,957,88,2016
15915192,935,702,75,2016
15915193,717,644,90,2016
15915195,1270,1139,90,2016
15915198,924,704,76,2016
15915225,833,686,82,2016
15915227,577,515,89,2016
15915230,367,342,93,2016
15915234,546,493,90,2016
15915236,589,538,91,2016
15916001,5482,4016,73,2016
15916003,63,46,73,2016
15916008,3346,2166,65,2016
15916009,428,424,99,2016
15916041,2240,1349,60,2016
15916042,3544,2756,78,2016
15916043,2622,1657,63,2016
15916044,2680,1768,66,2016
15916045,3273,2150,66,2016
15916101,706,482,68,2016
15916102,948,690,73,2016
15916103,434,334,77,2016
15916104,455,366,80,2016
15916105,623,330,53,2016
15916106,747,690,92,2016
15916107,769,450,59,2016
15916109,481,403,84,2016
15916110,718,461,64,2016
15916111,642,468,73,2016
15916112,712,430,60,2016
15916113,810,568,70,2016
15916114,884,590,67,2016
15916115,955,603,63,2016
15916116,772,640,83,2016
15916117,918,714,78,2016
15916118,922,803,87,2016
15916119,740,539,73,2016
15917001,2280,1447,63,2016
15917041,2758,1489,54,2016
15917102,453,277,61,2016
15917103,1845,816,44,2016
15917104,504,298,59,2016
15917105,535,335,63,2016
15917106,609,317,52,2016
16901001,339,284,84,2016
16901041,616,486,79,2016
16901101,255,191,75,2016
16902001,383,321,84,2016
16902041,668,497,74,2016
16902101,586,486,83,2016
17901001,434,389,90,2016
18901001,416,352,85,2016
18901041,641,503,78,2016
18901101,530,426,80,2016
18902001,509,384,75,2016
18902101,251,210,84,2016
18903001,247,133,54,2016
18904001,259,213,82,2016
18904041,390,251,64,2016
18904101,408,317,78,2016
18905003,266,169,64,2016
18906001,226,189,84,2016
18907001,328,224,68,2016
18908001,165,97,59,2016
19901001,299,233,78,2016
19901041,681,470,69,2016
19901102,258,158,61,2016
19902002,394,307,78,2016
19902041,723,546,76,2016
19902102,258,216,84,2016
19903001,740,546,74,2016
19905001,462,349,76,2016
19905041,942,645,68,2016
19905101,705,481,68,2016
19906001,556,431,78,2016
19906041,551,442,80,2016
19906101,148,124,84,2016
19906102,588,472,80,2016
19907002,2365,1816,77,2016
19907003,115,52,45,2016
19907042,4149,2824,68,2016
19907105,350,242,69,2016
19907108,825,422,51,2016
19907109,806,661,82,2016
19907111,458,336,73,2016
19907113,776,598,77,2016
19907116,523,522,100,2016
19908001,1076,712,66,2016
19908041,1955,1249,64,2016
19908103,897,580,65,2016
19909001,242,186,77,2016
19909041,303,220,73,2016
19909101,231,163,71,2016
19910101,96,88,92,2016
19911041,592,541,91,2016
19911101,327,316,97,2016
19912001,805,689,86,2016
19912041,1339,1160,87,2016
19912200,1234,1111,90,2016
19913101,117,77,66,2016
19914101,164,105,64,2016
20901001,3609,2601,72,2016
20901002,4502,3479,77,2016
20901005,342,147,43,2016
20901041,2375,1548,65,2016
20901042,1662,1070,64,2016
20901043,2242,1407,63,2016
20901045,2973,2541,85,2016
20901046,2083,1369,66,2016
20901047,2487,1743,70,2016
20901101,1322,925,70,2016
20901103,921,680,74,2016
20901104,579,427,74,2016
20901105,887,690,78,2016
20901107,1350,1035,77,2016
20901108,925,743,80,2016
20901109,816,646,79,2016
20901110,1091,863,79,2016
20901111,1069,902,84,2016
20901112,993,886,89,2016
20901113,933,697,75,2016
20901114,1025,878,86,2016
20901115,1027,839,82,2016
20902001,2842,2164,76,2016
20902044,4364,3245,74,2016
20902102,533,411,77,2016
20902103,519,393,76,2016
20902104,1399,1160,83,2016
20902108,458,377,82,2016
20902109,490,424,87,2016
20902110,384,288,75,2016
20904001,376,309,82,2016
20904041,469,412,88,2016
20904101,610,552,90,2016
20905001,1738,1079,62,2016
20905002,4118,2967,72,2016
20905006,170,47,28,2016
20905041,2590,1453,56,2016
20905042,1742,1051,60,2016
20905043,1649,1284,78,2016
20905101,429,311,72,2016
20905102,476,373,78,2016
20905106,605,339,56,2016
20905107,448,307,69,2016
20905108,271,178,66,2016
20905109,452,369,82,2016
20905110,497,296,60,2016
20905111,412,362,88,2016
20905113,386,303,78,2016
20905114,440,308,70,2016
20905115,1962,1559,79,2016
20905116,1038,559,54,2016
20906002,866,702,81,2016
20906041,1318,1003,76,2016
20906104,1102,815,74,2016
20907001,1291,953,74,2016
20907042,1573,1042,66,2016
20907102,965,726,75,2016
20907106,449,310,69,2016
20907107,765,514,67,2016
20908001,3837,3170,83,2016
20908004,138,94,68,2016
20908007,2959,2636,89,2016
20908009,1268,1139,90,2016
20908041,2453,2157,88,2016
20908042,2867,2481,87,2016
20908043,2827,2329,82,2016
20908044,3297,3018,92,2016
20908101,697,546,78,2016
20908102,672,598,89,2016
20908103,576,529,92,2016
20908104,714,583,82,2016
20908105,2050,1830,89,2016
20908106,678,578,85,2016
20908107,525,484,92,2016
20908108,2155,1822,85,2016
20908109,725,663,91,2016
20908110,781,744,95,2016
20908111,2166,1978,91,2016
20908112,631,527,84,2016
20908113,736,596,81,2016
20908114,672,600,89,2016
20908115,1470,1345,91,2016
20910101,265,164,62,2016
21803001,158,78,49,2016
21803102,239,162,68,2016
21805041,64,32,50,2016
21805101,161,118,73,2016
21805102,70,45,64,2016
21805105,158,131,83,2016
21901001,2285,1826,80,2016
21901002,30,25,83,2016
21901003,2277,2012,88,2016
21901041,3141,2704,86,2016
21901042,2878,2136,74,2016
21901101,467,376,81,2016
21901102,627,494,79,2016
21901104,523,441,84,2016
21901105,543,484,89,2016
21901107,512,439,86,2016
21901108,557,476,85,2016
21901109,540,413,76,2016
21901110,584,494,85,2016
21901111,377,330,88,2016
21901201,2214,1681,76,2016
21901202,2385,2082,87,2016
21902001,3077,2003,65,2016
21902002,2844,1578,55,2016
21902003,593,556,94,2016
21902017,402,145,36,2016
21902041,2535,1710,67,2016
21902045,3003,2008,67,2016
21902046,1948,1173,60,2016
21902047,1727,1080,63,2016
21902101,639,443,69,2016
21902103,1025,752,73,2016
21902105,536,395,74,2016
21902106,458,303,66,2016
21902107,590,374,63,2016
21902108,640,567,89,2016
21902109,590,423,72,2016
21902110,340,249,73,2016
21902112,577,473,82,2016
21902113,740,510,69,2016
21902114,652,343,53,2016
21902115,744,530,71,2016
21902117,496,372,75,2016
21902118,594,439,74,2016
21902119,559,377,67,2016
22004001,157,95,61,2016
22901001,383,337,88,2016
22901041,911,644,71,2016
22901101,430,299,70,2016
22902001,71,60,85,2016
22903101,56,42,75,2016
23902001,291,251,86,2016
24901001,716,457,64,2016
24901041,935,549,59,2016
24901101,924,534,58,2016
25901001,442,371,84,2016
25901041,878,680,77,2016
25901101,339,254,75,2016
25902001,1333,986,74,2016
25902003,16,7,44,2016
25902041,1724,1286,75,2016
25902101,753,536,71,2016
25902106,184,123,67,2016
25902107,206,179,87,2016
25902108,1359,899,66,2016
25902109,154,109,71,2016
25904001,302,238,79,2016
25905001,268,203,76,2016
25905101,206,136,66,2016
25906001,333,276,83,2016
25908001,234,182,78,2016
25909001,517,462,89,2016
25909041,800,675,84,2016
25909101,668,533,80,2016
26901001,762,620,81,2016
26901041,1068,834,78,2016
26901042,1025,764,75,2016
26902001,332,187,56,2016
26902101,317,174,55,2016
26903002,519,347,67,2016
26903101,248,157,63,2016
27903001,1293,769,59,2016
27903003,71,23,32,2016
27903041,1975,1380,70,2016
27903102,485,362,75,2016
27903104,1370,983,72,2016
27904001,1814,1380,76,2016
27904002,37,32,86,2016
27904041,2702,1946,72,2016
27904101,707,547,77,2016
27904102,659,481,73,2016
27904103,720,496,69,2016
27904104,264,232,88,2016
28902001,1176,736,63,2016
28902038,24,14,58,2016
28902045,3207,2054,64,2016
28902101,935,726,78,2016
28902103,729,403,55,2016
28902104,863,580,67,2016
28902105,703,436,62,2016
28903001,671,431,64,2016
28903041,876,544,62,2016
28903101,757,388,51,2016
28906001,268,152,57,2016
29901001,1656,1210,73,2016
29901003,26,17,65,2016
29901043,2351,1510,64,2016
29901101,875,745,85,2016
29901102,1101,887,81,2016
29901105,69,69,100,2016
29901107,489,406,83,2016
30901001,301,234,78,2016
30901101,243,180,74,2016
30902001,595,506,85,2016
30902041,1005,748,74,2016
30902103,816,627,77,2016
30903001,137,92,67,2016
30903041,227,163,72,2016
30903101,175,88,50,2016
30906001,144,128,89,2016
30906041,170,133,78,2016
30906101,294,216,73,2016
31901001,3740,2861,76,2016
31901002,2826,1793,63,2016
31901003,2908,2271,78,2016
31901004,3885,2829,73,2016
